gene_name,B.freq,LB.freq,LP.freq,P.freq,alleleFreqSUM
IFIH1,0.14018691588785046,0.7570093457943925,0.028037383177570093,0.07476635514018691,1.0
INVS,0.07665505226480836,0.662020905923345,0.05226480836236934,0.20905923344947736,1.0
KCNE1,0.2372093023255814,0.4,0.04186046511627907,0.3209302325581395,1.0
KCNQ1,0.2360813704496788,0.41755888650963596,0.13436830835117772,0.21199143468950749,1.0
LIPA,0.09090909090909091,0.538961038961039,0.17965367965367965,0.19047619047619047,1.0
LMBRD1,0.1401098901098901,0.695054945054945,0.06043956043956044,0.1043956043956044,0.9999999999999999
LPIN2,0.16891891891891891,0.543918918918919,0.030405405405405407,0.25675675675675674,1.0
LYST,0.09170530654301906,0.7604327666151468,0.056156620298815046,0.09170530654301906,1.0
MAD2L2,0.08064516129032258,0.6048387096774194,0.056451612903225805,0.25806451612903225,1.0
MEN1,0.03961084086170952,0.5149409312022237,0.11535788742182071,0.330090340514246,1.0
MMAA,0.08333333333333333,0.49747474747474746,0.15656565656565657,0.26262626262626265,1.0
MMAB,0.163727959697733,0.5491183879093199,0.11083123425692695,0.17632241813602015,1.0
MMACHC,0.07009345794392523,0.48130841121495327,0.17289719626168223,0.2757009345794392,0.9999999999999999
MMADHC,0.10256410256410256,0.5993589743589743,0.10576923076923077,0.19230769230769232,0.9999999999999999
MMP1,0.5352112676056338,0.18309859154929578,0.04225352112676056,0.23943661971830985,0.9999999999999999
MTR,0.20408163265306123,0.6581632653061225,0.03571428571428571,0.10204081632653061,1.0
MTRR,0.10635838150289018,0.6023121387283237,0.08439306358381503,0.2069364161849711,1.0
MTTP,0.10396039603960396,0.6646039603960396,0.10272277227722772,0.12871287128712872,1.0
MUC1,0.06666666666666667,0.4,0.16666666666666666,0.36666666666666664,1.0
NAF1,0.09803921568627451,0.43137254901960786,0.0784313725490196,0.39215686274509803,1.0
NEK8,0.13725490196078433,0.6405228758169934,0.08496732026143791,0.13725490196078433,1.0
NPHP1,0.13590844062947066,0.5150214592274678,0.09585121602288985,0.2532188841201717,0.9999999999999999
NPHP3,0.13508771929824562,0.5859649122807018,0.08947368421052632,0.18947368421052632,1.0
NPHP4,0.1421383647798742,0.6176100628930817,0.06918238993710692,0.1710691823899371,0.9999999999999999
PALB2,0.03888888888888889,0.4264705882352941,0.12745098039215685,0.4071895424836601,1.0
PCCA,0.0630550621669627,0.5381882770870338,0.15896980461811722,0.23978685612788633,0.9999999999999999
PCCB,0.03837209302325582,0.608139534883721,0.16744186046511628,0.18604651162790697,1.0
PEPD,0.12375249500998003,0.7125748502994012,0.05389221556886228,0.10978043912175649,0.9999999999999999
PLEC,0.1444954128440367,0.7651376146788991,0.022477064220183487,0.06788990825688074,1.0
PNPO,0.1277533039647577,0.6519823788546255,0.08370044052863436,0.13656387665198239,1.0
PRDX1,0.3333333333333333,0.4166666666666667,0.05555555555555555,0.19444444444444445,1.0
RAD51,0.15492957746478872,0.7652582159624414,0.028169014084507043,0.051643192488262914,1.0
RAD51C,0.035035035035035036,0.5315315315315315,0.14814814814814814,0.2852852852852853,1.0
RBM8A,0.07352941176470588,0.20098039215686275,0.10784313725490197,0.6176470588235294,1.0
REN,0.3,0.4,0.09,0.21,0.9999999999999999
RFWD3,0.10232558139534884,0.7813953488372093,0.004651162790697674,0.11162790697674418,1.0
RMRP,0.04275534441805225,0.040380047505938245,0.32779097387173395,0.5890736342042755,1.0
RPL11,0.18840579710144928,0.4492753623188406,0.057971014492753624,0.30434782608695654,1.0
RPL15,0.20408163265306123,0.5102040816326531,0.01020408163265306,0.2755102040816326,1.0
